,home_elo,away_elo,spread,h_drives,h_d_explosiveness,h_d_successrate,h_d_stuffrate,h_d_totalPPA,h_o_explosiveness,h_o_successrate,h_o_stuffrate,h_o_totalPPA,home_team_cover_spread,home_conference_ACC,home_conference_American Athletic,home_conference_Big 12,home_conference_Big Ten,home_conference_Conference USA,home_conference_FBS Independents,home_conference_Mid-American,home_conference_Mountain West,home_conference_Pac-12,home_conference_SEC,home_conference_Sun Belt,away_conference_ACC,away_conference_American Athletic,away_conference_Big 12,away_conference_Big Ten,away_conference_Conference USA,away_conference_FBS Independents,away_conference_Mid-American,away_conference_Mountain West,away_conference_Pac-12,away_conference_SEC,away_conference_Sun Belt,neutral_site_False,neutral_site_True,week
103,0.343317972,0.621780721,0.529069767,0.545454545,0.402199561,0.545933378,0.148648649,0.659382133,0.26098926,0.553595295,0.193548387,0.506497817,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,
104,0.5906298,0.345842531,0.470930233,0.545454545,0.268299198,0.422399615,0.1375,0.396735786,0.477476958,0.822450477,0.416666667,0.618692347,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3
105,0.108294931,0.364974246,0.819767442,0.181818182,0.003288988,0.418623373,0.183333333,0.394654053,0.25197655,0.410574713,0.388888889,0.29815496,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3
106,0.680491551,0.319352465,0.377906977,0.545454545,0.179294979,0.295665041,0.5,0.168711716,0.325342482,0.522238881,0.484848485,0.542981952,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3
107,0.615975422,0.388520971,0.430232558,0.181818182,0.357102447,0.619466531,0.114583333,0.654134692,0.275724859,0.618261292,0.157894737,0.525347894,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3
108,0.456221198,0.3598234,0.511627907,0.272727273,0.322665497,0.345536253,0.122222222,0.43117025,0.186942598,0.611494253,0.279069767,0.462358481,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3
109,0.688940092,0.465783664,0.453488372,0.363636364,0.564593611,0.278210117,0.534722222,0.374372189,0.069003241,0.537828101,0.095238095,0.344016717,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
110,0.601382488,0.44812362,0.447674419,0.454545455,0.359273032,0.337224384,0.192982456,0.388768396,0.124974892,0.457164751,0.227272727,0.267430113,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3
111,0.318740399,0.362030905,0.581395349,0.272727273,0.41766507,0.491174646,0.346846847,0.482984722,0.311701971,0.770114943,0.083333333,0.720838866,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3
112,0.567588326,0.635025754,0.639534884,0.363636364,0.568580386,0.533938608,0.4125,0.708247208,0.401138365,0.419074247,0.625,0.21562843,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3
113,0.457757296,0.601913171,0.569767442,0.272727273,0.437004824,0.414199515,0.339506173,0.486192588,0.228142559,0.694287185,0.311111111,0.608394017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3
114,0.616743472,0.299484915,0.284883721,0.272727273,0.474144383,0.393428448,0.261904762,0.503631581,0.225918491,0.84803702,0.185185185,0.616302658,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
115,0.5,0.388520971,0.476744186,0.363636364,0.351989213,0.473889003,0.148648649,0.521344289,0.293725953,0.538697318,0.095238095,0.502632511,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3
116,0.329493088,0.585724798,0.808139535,0.363636364,0.456399171,0.589114549,0.480874317,0.731485076,0.390887142,0.24408384,0.444444444,0.047456686,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3
117,0.589861751,0.339220015,0.447674419,0.090909091,0.52256533,0.486381323,0.269607843,0.690727679,0.286712738,0.645977011,0.136363636,0.627514166,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3
